PO #,Class Description
48011,Plumbing & Drainage Sundries
53400,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
53412,Electrical Sundries
48011,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
53412,Electrical Sundries
48011,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
53542,Plumbing & Drainage Sundries
53412,Electrical Sundries
48011,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
48011,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
48011,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
53542,Electrical Sundries
47243,Plumbing & Drainage Sundries
53400,Electrical Sundries
47243,Plumbing & Drainage Sundries
47145,Pumps
53400,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
47145,Plumbing & Drainage Sundries
53400,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
53400,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
53400,Plumbing & Drainage Sundries
47243,Plumbing & Drainage
47243,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
47243,Plumbing & Drainage Sundries
47243,Sanitary Ware
47243,Plumbing & Drainage Sundries
47243,Electrical Sundries
47243,Electrical Sundries
47243,Switchgear
47243,Electrical Sundries
47243,Electrical Sundries
47243,Electrical Sundries
47243,Electrical Sundries
53553,Water Supply
61128,Water Supply
61298,Water Supply
47299,Charge
61946,Charge
61253,Consumables
62749,Consumables
53968,Diesel & Petrol
54891,Diesel & Petrol
61518,Diesel & Petrol
62000,Diesel & Petrol
62615,Diesel & Petrol
31523,Plant
48650,Consumables
56155,Consumables
61066,Charge
61042,Parts
61647,Parts
47021,Vehicle & Equipment
61879,Vehicle & Equipment
43155,Vehicle & Equipment
47168,Vehicle & Equipment
49607,Vehicle & Equipment
49645,Vehicle & Equipment
49671,Vehicle & Equipment
53552,Vehicle & Equipment
53684,Vehicle & Equipment
56813,Vehicle & Equipment
60857,Vehicle & Equipment
63206,Vehicle & Equipment
61047,Vehicle & Equipment
49792,Driver
57066,Driver
61194,Driver
61834,Driver
54598,Manpower
53466,HSE
63338,HSE
54775,Office Consumables
47145,Refreshments
51159,Refreshments
53542,Refreshments
53604,Refreshments
56902,Refreshments
61045,Refreshments
61187,Refreshments
61189,Refreshments
47794,Other Expenses
54076,Other Expenses
61466,Other Expenses
62282,Other Expenses
63507,Other Expenses
47890,Administrative Fees
48392,Administrative Fees
49114,Administrative Fees
49614,Administrative Fees
50034,Administrative Fees
53571,Administrative Fees
54482,Administrative Fees
54485,Administrative Fees
54486,Administrative Fees
54593,Administrative Fees
55404,Administrative Fees
61956,Administrative Fees
53553,Water Supply
48650,Consumables
53512,Consumables
47299,Consumables
61253,Consumables
31523,Consumables
61042,Charge
43155,Vehicle & Equipment
47168,Vehicle & Equipment
53684,Vehicle & Equipment
56813,Vehicle & Equipment
47021,Plant
53344,Plant
60858,Plant
61047,Vehicle & Equipment
61194,Driver
61834,Driver
54598,Manpower
53466,HSE
47145,HSE
63338,Office Consumables
53604,Refreshments
56902,Refreshments
61045,Refreshments
61187,Refreshments
61189,Refreshments
54076,Other Expenses
55404,Administrative Fees
31523,Consumables
48650,Consumables
47168,Vehicle & Equipment
53684,Vehicle & Equipment
47021,Plant
53512,Office Consumables
47145,Refreshments
53400,Refreshments
53604,Refreshments
56902,Refreshments
61045,Refreshments
61187,Refreshments
48650,Parts
47021,Vehicle & Equipment
53684,Vehicle & Equipment
53400,Office Consumables
47145,Refreshments
56902,Refreshments
61187,Refreshments
53512,Miscellaneous
48650,Consumables
47021,Vehicle & Equipment
47145,Refreshments
53400,Refreshments
61187,Refreshments
53512,Miscellaneous
48650,Plant
47021,Vehicle & Equipment
53400,Refreshments
53542,Refreshments
61187,Refreshments
47145,Other Expenses
47021,Vehicle & Equipment
61187,Office Consumables
53400,Refreshments
53542,Refreshments
53400,Refreshments
53542,Refreshments
61187,HSE
53400,Refreshments
53542,Refreshments
53400,Refreshments
53542,Refreshments
61032,Office Consumables
53400,Refreshments
53542,Refreshments
61032,Office Consumables
53400,Refreshments
53400,Refreshments
53542,Refreshments
53400,Refreshments
47145,Refreshments
53400,Refreshments
47145,Refreshments
53400,Refreshments
47145,Diesel & Petrol
53400,Refreshments
47145,Refreshments
53542,Refreshments
61032,Refreshments
61032,Refreshments
