PO #,Class Description
46200,HSE
46767,HSE
34974,HSE
34198,HSE
34567,HSE
34918,HSE
35112,HSE
39948,HSE
40220,HSE
45215,HSE
45248,HSE
50437,HSE
33705,HSE
33810,HSE
41159,HSE
44022,HSE
46015,HSE
37510,HSE
45891,HSE
36475,HSE
36889,HSE
37431,HSE
37882,HSE
38856,HSE
40070,HSE
40729,HSE
41727,HSE
43918,HSE
46995,HSE
48809,HSE
51862,HSE
34441,HSE
34454,HSE
40544,HSE
42964,HSE
50068,HSE
52054,HSE
40325,HSE
41728,HSE
46527,HSE
43225,HSE
35059,HSE
46000,HSE
34580,HSE
47255,HSE
34827,HSE
34919,HSE
42357,HSE
51830,HSE
50957,HSE
34013,Office Expenses
34343,Office Expenses
34229,Office Expenses
51658,Office Expenses
37134,Other Expenses
44936,Other Expenses
47500,Other Expenses
50279,Other Expenses
35033,Other Expenses
35882,Other Expenses
36236,Other Expenses
34601,Other Expenses
35725,Other Expenses
36201,Other Expenses
37328,Other Expenses
37733,Other Expenses
38228,Other Expenses
39931,Other Expenses
41990,Other Expenses
42196,Other Expenses
42462,Other Expenses
43456,Other Expenses
43713,Other Expenses
44183,Other Expenses
44206,Other Expenses
44418,Other Expenses
45118,Other Expenses
45471,Other Expenses
45501,Other Expenses
46122,Other Expenses
46566,Other Expenses
46735,Other Expenses
46947,Other Expenses
47363,Other Expenses
47463,Other Expenses
48159,Other Expenses
48373,Other Expenses
48884,Other Expenses
50372,Other Expenses
51363,Other Expenses
51562,Other Expenses
52062,Other Expenses
52080,Other Expenses
35391,Other Expenses
35778,Other Expenses
37270,Other Expenses
38860,Other Expenses
38948,Other Expenses
39930,Other Expenses
40859,Other Expenses
40879,Other Expenses
45905,Other Expenses
46292,Other Expenses
47495,Other Expenses
48210,Other Expenses
48286,Other Expenses
48854,Other Expenses
49519,Other Expenses
49744,Other Expenses
39897,Other Expenses
40175,Other Expenses
40356,Other Expenses
35335,Other Expenses
36848,Other Expenses
39781,Other Expenses
40355,Other Expenses
44314,Other Expenses
52055,Office Expenses
36591,Office Expenses
34239,Office Expenses
39559,Office Expenses
34037,Office Expenses
34062,Office Expenses
34093,Office Expenses
50447,Office Expenses
52584,Office Expenses
52575,Office Expenses
34407,Office Expenses
44298,Office Expenses
49392,Office Expenses
52276,Office Expenses
51419,Office Expenses
44066,Office Consumables
48317,Office Consumables
50710,Office Consumables
35113,Office Consumables
40555,Office Consumables
46238,Office Consumables
47917,Office Consumables
34675,Office Consumables
48513,Office Consumables
34057,Office Consumables
47066,Office Consumables
48526,Office Consumables
34200,Office Consumables
41922,Office Consumables
48507,Office Consumables
34192,Office Consumables
34634,HSE
38173,Office Consumables
38484,Office Consumables
39738,Office Consumables
40997,Office Consumables
42738,Office Consumables
46565,Office Consumables
48061,HSE
34174,Refreshments
44516,Refreshments
46344,Office Consumables
47447,Refreshments
49173,Refreshments
50017,Office Consumables
51717,Office Consumables
52234,Office Consumables
34887,Office Consumables
39680,Office Consumables
48780,Office Consumables
38405,Office Consumables
41362,Office Consumables
52378,Office Consumables
47907,Office Consumables
34829,Office Consumables
37405,Office Consumables
42756,Office Consumables
44815,Office Consumables
46669,Office Consumables
48408,Office Consumables
34303,Office Consumables
36134,Office Consumables
36341,Office Consumables
38580,Office Consumables
38678,Office Consumables
39958,Office Consumables
43294,Office Consumables
45115,Office Consumables
50305,Office Consumables
51975,Office Consumables
52207,Office Consumables
52491,Office Consumables
34719,Office Consumables
49961,Office Consumables
51624,Office Consumables
51164,Office Consumables
33861,Office Consumables
46390,Office Consumables
48212,Office Consumables
34956,Office Consumables
38078,Office Consumables
40677,Office Consumables
50816,Office Consumables
37709,Office Consumables
44408,Office Consumables
40219,Office Consumables
44706,Office Consumables
44959,Refreshments
46753,Office Consumables
50681,Office Consumables
47348,Office Consumables
50777,Office Consumables
50796,Office Consumables
34857,Office Consumables
40850,Office Consumables
47524,Office Consumables
48213,Office Consumables
48916,Office Consumables
50484,Office Consumables
37467,Office Consumables
42376,Office Consumables
47521,Office Consumables
49809,Office Consumables
34508,Office Consumables
37711,Office Consumables
37536,Office Consumables
47788,Office Consumables
34034,Office Consumables
51006,Refreshments
35776,Refreshments
46850,Refreshments
48766,Refreshments
48343,Refreshments
48873,Refreshments
51832,Refreshments
52056,Refreshments
48214,Other Expenses
48818,Other Expenses
49472,Other Expenses
51133,Other Expenses
51993,Office Consumables
45035,HSE
43162,Refreshments
35311,Refreshments
39876,Refreshments
46176,Refreshments
41123,Refreshments
45368,Refreshments
51295,Refreshments
47382,Refreshments
38413,Refreshments
45289,Refreshments
50067,Refreshments
51831,Refreshments
34430,Refreshments
44931,Refreshments
50680,Refreshments
50720,Refreshments
50776,Refreshments
50778,Refreshments
50798,Refreshments
50821,Refreshments
50847,Refreshments
50874,Refreshments
50916,Refreshments
50959,Refreshments
51038,Refreshments
51071,Refreshments
51111,Refreshments
51135,Refreshments
51271,Refreshments
52075,Refreshments
52116,Refreshments
52195,Refreshments
52561,Refreshments
34047,Refreshments
51138,Refreshments
51591,Refreshments
39197,Refreshments
38238,Refreshments
34184,Other Expenses
34597,Other Expenses
35346,Other Expenses
35565,Other Expenses
35951,Other Expenses
36426,Other Expenses
36901,Other Expenses
37386,Other Expenses
37787,Other Expenses
38116,Other Expenses
38915,Other Expenses
39409,Other Expenses
39912,Other Expenses
40702,Other Expenses
40652,Other Expenses
41125,Other Expenses
41786,Other Expenses
42416,Other Expenses
49198,Other Expenses
39342,Other Expenses
32109,Other Expenses
32408,Other Expenses
32814,Other Expenses
33260,Other Expenses
33512,Other Expenses
33831,Other Expenses
34221,Other Expenses
34586,Other Expenses
41528,Other Expenses
41745,Other Expenses
42045,Other Expenses
49143,Other Expenses
41920,Miscellaneous
42504,Miscellaneous
50660,Other Expenses
37915,Other Expenses
45316,Other Expenses
45386,Other Expenses
46362,Other Expenses
32049,Other Expenses
51973,Other Expenses
33928,Other Expenses
46760,Other Expenses
47233,Other Expenses
48418,Other Expenses
48613,Other Expenses
32877,Immigration Fees
34318,Immigration Fees
46857,Immigration Fees
43406,Immigration Fees
43936,Immigration Fees
44620,Immigration Fees
45128,Immigration Fees
46228,Immigration Fees
48458,Immigration Fees
49576,Immigration Fees
50392,Immigration Fees
52570,Immigration Fees
48952,Immigration Fees
49976,Immigration Fees
51755,Immigration Fees
35005,Administrative Fees
47823,Administrative Fees
31292,Site Related Fees
37844,Site Related Fees
40375,Site Related Fees
48341,Site Related Fees
48559,Site Related Fees
49875,Site Related Fees
50272,Site Related Fees
50947,Site Related Fees
33339,Site Related Fees
33493,Site Related Fees
48715,Site Related Fees
34734,Site Related Fees
42877,Vehicle Related Fees
43087,Vehicle Related Fees
47330,Vehicle Related Fees
34384,Vehicle Related Fees
51749,HSE
37435,Site Miscellaneous items
41671,Office Expenses
39258,Miscellaneous
39038,Miscellaneous
45346,Miscellaneous
51580,Miscellaneous
38655,Miscellaneous
42501,Miscellaneous
36490,Miscellaneous
34976,Consumables
38060,Miscellaneous
40639,Fees
42301,Fees
47114,Fees
47173,Fees
47178,Fees
47364,Fees
52314,Fees
52394,Fees
32299,Fees
32467,Insurance Fees
43364,Consulting Fees
25186,Fees
31312,Consulting Fees
52332,Miscellaneous
36706,Miscellaneous
36861,Miscellaneous
37049,Miscellaneous
37116,Miscellaneous
37432,Miscellaneous
38010,Miscellaneous
38600,Miscellaneous
38960,Miscellaneous
42158,Miscellaneous
45366,Miscellaneous
48626,Miscellaneous
32581,Miscellaneous
32874,Miscellaneous
45323,Miscellaneous
36602,Miscellaneous
46040,Miscellaneous
25184,Geotechnical Report
38853,Geotechnical Report
47295,Geotechnical Report
50722,Water Supply
50728,Water Supply
31854,Garbage Removal
37525,Garbage Removal
37654,Garbage Removal
38212,Garbage Removal
38739,Garbage Removal
39378,Garbage Removal
40139,Garbage Removal
41703,Garbage Removal
52375,Garbage Removal
46463,Charge
47115,Charge
43530,Charge
44341,Charge
44752,Charge
45099,Charge
45720,Charge
46087,Charge
41514,Charge
39284,Charge
47562,Charge
47714,Charge
48114,Charge
48130,Charge
48178,Charge
48357,Charge
48456,Charge
48557,Charge
48656,Charge
48658,Charge
48792,Charge
48811,Charge
48941,Charge
49215,Charge
49242,Charge
49316,Charge
49547,Charge
49796,Charge
49854,Charge
50158,Charge
51711,Charge
52252,Charge
41652,Consumables
41680,Consumables
32162,Consumables
34979,Consumables
41975,Consumables
45566,Consumables
47619,Consumables
49446,Consumables
52505,Consumables
39597,Consumables
40628,Consumables
41988,Consumables
42436,Consumables
43911,Consumables
45181,Consumables
45560,Consumables
46140,Consumables
47840,Consumables
34185,Consumables
39260,Consumables
34447,Consumables
39245,Consumables
46941,Consumables
49124,Consumables
52352,Consumables
35867,Diesel & Petrol
32289,Plant
48789,Plant
45724,Parts
47654,Parts
47837,Parts
45185,Parts
48571,Parts
32250,Consumables
46454,Consumables
47305,Consumables
47870,Consumables
48835,Consumables
49053,Consumables
29963,Plant
38677,Plant
39900,Plant
40458,Plant
41268,Plant
41991,Plant
44858,Plant
46271,Plant
46582,Plant
48263,Plant
49025,Plant
49673,Plant
49948,Plant
32576,Consumables
33714,Consumables
34461,Consumables
34546,Consumables
39904,Consumables
41220,Consumables
43447,Consumables
44064,Consumables
45575,Consumables
45579,Consumables
46129,Consumables
47317,Consumables
47420,Consumables
49246,Consumables
49461,Consumables
50018,Consumables
50117,Consumables
51171,Consumables
51823,Consumables
52536,Consumables
40230,Parts
45598,Charge
45881,Charge
46062,Charge
46461,Charge
46590,Charge
47509,Charge
47511,Charge
47709,Charge
47871,Charge
48519,Charge
33791,Parts
33870,Parts
34256,Parts
34785,Parts
39798,Parts
41291,Parts
41478,Parts
42285,Parts
43172,Parts
44492,Parts
45085,Parts
46081,Parts
46298,Parts
46613,Parts
47289,Parts
52133,Parts
52788,Parts
52793,Parts
63394,Parts
34534,Parts
34135,Charge
34645,Charge
52531,Charge
38893,Charge
39205,Charge
32992,Charge
40452,Charge
45960,Charge
32487,Parts
49212,Parts
31853,Parts
40747,Parts
50585,Parts
50709,Parts
36240,Parts
41847,Parts
44409,Parts
34086,Parts
35094,Parts
49362,Parts
45325,Tyres
46586,Tyres
47647,Tyres
47719,Tyres
49050,Tyres
49062,Tyres
49228,Tyres
48497,Tyres
47046,Tyres
31951,Vehicle & Equipment
32648,Vehicle & Equipment
34324,Vehicle & Equipment
48826,Vehicle & Equipment
49250,Vehicle & Equipment
30219,Vehicle & Equipment
32627,Vehicle & Equipment
34166,Vehicle & Equipment
34273,Vehicle & Equipment
34466,Vehicle & Equipment
34758,Vehicle & Equipment
34835,Vehicle & Equipment
34894,Vehicle & Equipment
34968,Vehicle & Equipment
35195,Vehicle & Equipment
35322,Vehicle & Equipment
35324,Vehicle & Equipment
35413,Vehicle & Equipment
35533,Vehicle & Equipment
35607,Vehicle & Equipment
35670,Vehicle & Equipment
35724,Vehicle & Equipment
35783,Vehicle & Equipment
35893,Vehicle & Equipment
35931,Vehicle & Equipment
36075,Vehicle & Equipment
36077,Vehicle & Equipment
36217,Vehicle & Equipment
36376,Vehicle & Equipment
37129,Vehicle & Equipment
37192,Vehicle & Equipment
37983,Vehicle & Equipment
38295,Vehicle & Equipment
39165,Vehicle & Equipment
39936,Vehicle & Equipment
42157,Vehicle & Equipment
43302,Vehicle & Equipment
45436,Vehicle & Equipment
46874,Vehicle & Equipment
47033,Vehicle & Equipment
47269,Vehicle & Equipment
47939,Vehicle & Equipment
48216,Vehicle & Equipment
52812,Vehicle & Equipment
49678,Vehicle & Equipment
37578,Vehicle & Equipment
42429,Vehicle & Equipment
45802,Vehicle & Equipment
46973,Vehicle & Equipment
34892,Plant
38136,Plant
38601,Plant
45291,Plant
45613,Plant
47461,Plant
48716,Plant
44420,Plant
33993,Plant
46617,Plant
32049,Plant
31992,Plant
34372,Plant
45869,Plant
44125,Vehicle & Equipment
52307,Vehicle & Equipment
46005,Plant
47354,Vehicle & Equipment
48867,Vehicle & Equipment
30141,Diesel & Petrol
30229,Diesel & Petrol
32024,Diesel & Petrol
32595,Diesel & Petrol
32666,Diesel & Petrol
33965,Diesel & Petrol
34206,Diesel & Petrol
35053,Diesel & Petrol
35464,Diesel & Petrol
35671,Diesel & Petrol
37712,Diesel & Petrol
38777,Diesel & Petrol
39573,Diesel & Petrol
40732,Diesel & Petrol
41816,Diesel & Petrol
45807,Diesel & Petrol
45900,Diesel & Petrol
46058,Diesel & Petrol
46255,Diesel & Petrol
46361,Diesel & Petrol
46432,Diesel & Petrol
46485,Diesel & Petrol
46526,Diesel & Petrol
46640,Diesel & Petrol
46665,Diesel & Petrol
46728,Diesel & Petrol
46746,Diesel & Petrol
46805,Diesel & Petrol
46852,Diesel & Petrol
46945,Diesel & Petrol
46970,Diesel & Petrol
47018,Diesel & Petrol
47096,Diesel & Petrol
47253,Diesel & Petrol
47316,Diesel & Petrol
47359,Diesel & Petrol
47520,Diesel & Petrol
47594,Diesel & Petrol
47742,Diesel & Petrol
47804,Diesel & Petrol
47895,Diesel & Petrol
48034,Diesel & Petrol
48096,Diesel & Petrol
48601,Diesel & Petrol
48693,Diesel & Petrol
48771,Diesel & Petrol
48863,Diesel & Petrol
48922,Diesel & Petrol
49004,Diesel & Petrol
49075,Diesel & Petrol
49207,Diesel & Petrol
49260,Diesel & Petrol
49423,Diesel & Petrol
49518,Diesel & Petrol
49592,Diesel & Petrol
49693,Diesel & Petrol
49719,Diesel & Petrol
49746,Diesel & Petrol
50683,Diesel & Petrol
50820,Diesel & Petrol
51084,Diesel & Petrol
51748,Diesel & Petrol
36372,Miscellaneous
33941,Driver
34317,Driver
34687,Driver
35131,Driver
35632,Driver
36043,Driver
36525,Driver
36959,Driver
37425,Driver
37867,Driver
38331,Driver
38958,Driver
39520,Driver
40182,Driver
40483,Driver
40980,Driver
41603,Driver
42570,Driver
43148,Driver
43732,Driver
44334,Driver
45979,Driver
46540,Driver
47093,Driver
47710,Driver
48225,Driver
48850,Driver
49385,Driver
49788,Driver
50285,Driver
50910,Driver
51353,Driver
52292,Driver
31911,Unskilled Labour
32519,Unskilled Labour
33667,Unskilled Labour
34694,Unskilled Labour
45538,Skilled Labour
48262,Skilled Labour
45256,Skilled Labour
35974,HSE
40371,HSE
34413,HSE
34638,HSE
37095,HSE
37726,HSE
42026,HSE
50130,HSE
35034,HSE
35886,HSE
35830,HSE
34172,HSE
36255,HSE
36647,HSE
36697,HSE
37746,HSE
37933,HSE
38047,HSE
38716,HSE
38787,HSE
40259,HSE
41541,HSE
41784,HSE
41921,HSE
42090,HSE
42266,HSE
42757,HSE
45097,HSE
49586,HSE
45614,HSE
46469,HSE
47515,HSE
48276,HSE
36965,HSE
37811,HSE
38188,HSE
43843,HSE
47064,HSE
34244,HSE
38717,HSE
42466,HSE
46320,HSE
36735,HSE
47399,HSE
49734,HSE
50155,HSE
37916,HSE
39198,HSE
40820,HSE
47036,HSE
48818,HSE
51247,HSE
45712,HSE
50304,HSE
48527,HSE
34170,HSE
34639,HSE
34921,HSE
35248,HSE
35712,HSE
36491,HSE
37631,HSE
38488,HSE
39951,HSE
41588,HSE
43710,HSE
46199,HSE
48275,HSE
51134,HSE
38606,HSE
34495,HSE
35476,HSE
35813,HSE
37047,HSE
37530,HSE
34824,HSE
35216,HSE
36679,HSE
40140,HSE
47009,HSE
42222,HSE
51833,HSE
34702,HSE
34788,HSE
35390,HSE
35440,HSE
36051,HSE
36830,HSE
38315,HSE
39210,HSE
40092,HSE
40667,HSE
44312,HSE
50043,HSE
46289,HSE
48344,HSE
51083,HSE
51501,HSE
52004,HSE
34265,HSE
34415,HSE
34470,HSE
34607,HSE
36130,HSE
36382,HSE
37831,HSE
38041,HSE
38124,HSE
39959,HSE
42063,HSE
42465,HSE
49014,HSE
49303,HSE
50245,HSE
50918,HSE
45652,HSE
46393,HSE
46487,HSE
46849,HSE
47324,HSE
47981,HSE
48505,HSE
34126,HSE
51246,HSE
51414,HSE
34308,HSE
34769,HSE
36765,HSE
39949,HSE
43923,HSE
44705,HSE
45215,HSE
45273,HSE
45383,HSE
49471,HSE
49695,HSE
50077,HSE
45555,HSE
45739,HSE
46200,HSE
46767,HSE
47523,HSE
48652,HSE
34567,HSE
35112,HSE
49919,HSE
34198,HSE
35514,HSE
39132,HSE
50437,HSE
46015,HSE
48372,HSE
34468,HSE
35046,HSE
35497,HSE
35994,HSE
39377,HSE
42560,HSE
37882,HSE
38856,HSE
40729,HSE
41727,HSE
51467,HSE
34276,HSE
44407,HSE
35182,HSE
36475,HSE
36889,HSE
37431,HSE
40070,HSE
43918,HSE
46995,HSE
48809,HSE
34637,HSE
46464,HSE
50636,HSE
52710,HSE
35048,HSE
49687,HSE
34957,HSE
38560,HSE
38598,HSE
34919,Office Expenses
35033,Other Expenses
35882,Other Expenses
36236,Other Expenses
35725,Other Expenses
36201,Other Expenses
38228,Other Expenses
39030,Other Expenses
42462,Other Expenses
43387,Other Expenses
43456,Other Expenses
44183,Other Expenses
44206,Other Expenses
44418,Other Expenses
45118,Other Expenses
46080,Other Expenses
48159,Other Expenses
48366,Other Expenses
48373,Other Expenses
48884,Other Expenses
49473,Other Expenses
50546,Other Expenses
35391,Other Expenses
35778,Other Expenses
38860,Other Expenses
47495,Other Expenses
36848,Other Expenses
39781,Other Expenses
40355,Other Expenses
44314,Other Expenses
52465,Office Expenses
51292,Office Expenses
34343,Office Expenses
34353,Office Expenses
39559,Office Expenses
52464,Office Expenses
36591,Office Expenses
34093,Office Expenses
34037,Office Expenses
43973,Office Consumables
45822,Office Consumables
50417,Office Consumables
47557,Office Consumables
41625,Office Consumables
50873,Office Consumables
41159,Office Consumables
35710,Office Consumables
34200,Office Consumables
41922,Office Consumables
39843,Office Consumables
34057,Office Consumables
35098,HSE
40555,Office Consumables
43641,Office Consumables
45716,Office Consumables
35992,Office Consumables
40997,Office Consumables
35113,Refreshments
35551,Refreshments
36198,Refreshments
38962,Refreshments
45593,Refreshments
48123,Office Consumables
33975,Office Consumables
46421,Office Consumables
37455,Office Consumables
47447,Office Consumables
33861,Office Consumables
36678,Office Consumables
38405,Office Consumables
39738,Office Consumables
40447,Office Consumables
46000,Office Consumables
37614,Office Consumables
43712,Office Consumables
48678,Office Consumables
35925,Office Consumables
39720,Office Consumables
52378,Office Consumables
34303,Office Consumables
38753,Office Consumables
45491,Office Consumables
34888,Office Consumables
35408,Office Consumables
35665,Office Consumables
36723,Office Consumables
37758,Office Consumables
38484,Office Consumables
40239,Office Consumables
41559,Office Consumables
42110,Office Consumables
42587,Office Consumables
44815,Office Consumables
45455,Office Consumables
46212,Office Consumables
46817,Office Consumables
47066,Office Consumables
47917,Office Consumables
48507,Office Consumables
51606,Office Consumables
34034,Office Consumables
48866,Office Consumables
49032,Office Consumables
49131,Office Consumables
44088,Office Consumables
52207,Office Consumables
46238,Office Consumables
45271,Office Consumables
35634,Office Consumables
36341,Office Consumables
43709,Office Consumables
44451,Office Consumables
48212,Office Consumables
37026,Office Consumables
44925,Office Consumables
37312,Office Consumables
41894,Office Consumables
48526,Office Consumables
34174,Refreshments
34634,Refreshments
36134,Refreshments
37405,Refreshments
37709,Refreshments
39240,Refreshments
39787,Office Consumables
40743,Refreshments
44516,Refreshments
46344,Office Consumables
51664,Office Consumables
51115,Office Consumables
37245,Office Consumables
37671,Office Consumables
40024,Office Consumables
40996,Office Consumables
44452,Office Consumables
44667,Office Consumables
45553,Office Consumables
45754,Office Consumables
46037,Office Consumables
46237,Office Consumables
47937,Office Consumables
48556,Office Consumables
51925,Office Consumables
52118,Office Consumables
52316,Office Consumables
37568,Office Consumables
50017,Office Consumables
50681,Office Consumables
38265,Office Consumables
49809,Office Consumables
33741,Office Consumables
52629,Office Consumables
37711,Office Consumables
37536,Office Consumables
47788,Office Consumables
34675,Office Consumables
48513,Office Consumables
44298,Office Consumables
48408,Refreshments
49173,Refreshments
34719,Refreshments
36050,Refreshments
36270,Refreshments
37547,Refreshments
37883,Refreshments
38078,Refreshments
40392,Refreshments
47255,Refreshments
50816,Refreshments
51717,Refreshments
52234,Refreshments
48055,Refreshments
47022,Refreshments
48061,Refreshments
49233,Other Expenses
51437,Other Expenses
51832,HSE
42738,Health & Safety
46565,Refreshments
49238,HSE
39958,Refreshments
48343,Refreshments
43162,Refreshments
49747,HSE
50305,HSE
36432,Refreshments
45035,HSE
46046,Refreshments
47345,HSE
51164,Refreshments
51438,HSE
49472,HSE
51834,HSE
35776,Refreshments
39311,Refreshments
41123,Refreshments
44706,Refreshments
45115,Refreshments
46669,Refreshments
46176,Refreshments
46753,Refreshments
48873,Refreshments
51975,Refreshments
36396,Refreshments
41362,Refreshments
46747,Refreshments
34430,Refreshments
34467,Refreshments
34895,Refreshments
35196,Refreshments
36076,Refreshments
45698,Refreshments
45914,Refreshments
47463,Refreshments
48967,Refreshments
49535,Refreshments
50775,Refreshments
50797,Refreshments
50876,Refreshments
51071,Refreshments
51111,Refreshments
52062,Refreshments
52224,Refreshments
52232,Refreshments
52287,Refreshments
52377,Refreshments
50088,Refreshments
50655,Refreshments
51831,Refreshments
51873,Refreshments
38678,Refreshments
34956,Refreshments
35311,Refreshments
37373,Refreshments
39565,Refreshments
39876,Refreshments
48766,Other Expenses
51295,Other Expenses
42416,Other Expenses
45368,Other Expenses
35346,Other Expenses
35565,Other Expenses
35951,Other Expenses
36426,Other Expenses
36901,Other Expenses
37386,Other Expenses
37787,Other Expenses
38116,Other Expenses
38915,Other Expenses
39409,Other Expenses
39912,Other Expenses
40702,Other Expenses
42045,Other Expenses
49143,Other Expenses
48274,Other Expenses
51395,Other Expenses
51591,Other Expenses
41076,Other Expenses
38238,Other Expenses
45485,Other Expenses
48641,Other Expenses
52489,Other Expenses
33928,Other Expenses
34734,Immigration Fees
43406,Immigration Fees
47330,Immigration Fees
47823,Immigration Fees
46228,Immigration Fees
46857,Administrative Fees
48952,Administrative Fees
50392,Administrative Fees
45762,Site Related Fees
42877,Vehicle Related Fees
43936,Vehicle Related Fees
52056,HSE
52117,HSE
40271,Miscellaneous
39258,Miscellaneous
40321,Miscellaneous
52622,Miscellaneous
34566,HSE
46975,Fees
47173,Fees
52603,Fees
47051,Fees
43364,Consulting Fees
31312,Consulting Fees
35782,Miscellaneous
46310,Miscellaneous
38853,Geotechnical Report
25184,Geotechnical Report
37432,Garbage Removal
38600,Garbage Removal
38960,Garbage Removal
42158,Garbage Removal
43530,Charge
47115,Charge
44752,Charge
45099,Charge
41514,Charge
48007,Charge
48114,Charge
48357,Charge
48364,Charge
48656,Charge
48658,Charge
48792,Charge
48912,Charge
48941,Charge
48958,Charge
49316,Charge
49547,Charge
49854,Charge
51711,Charge
51797,Charge
52252,Charge
32576,Consumables
41680,Consumables
47178,Consumables
48456,Consumables
49446,Consumables
52352,Consumables
34256,Consumables
39205,Consumables
39597,Consumables
40628,Consumables
41975,Consumables
42436,Consumables
43911,Consumables
44341,Consumables
45181,Consumables
45560,Consumables
46463,Consumables
47114,Consumables
47619,Consumables
34185,Consumables
39260,Consumables
31853,Consumables
34447,Consumables
40639,Consumables
43302,Plant
48178,Plant
48789,Plant
41652,Plant
45720,Plant
34461,Parts
39245,Parts
46941,Parts
47654,Parts
47840,Parts
52505,Parts
45185,Consumables
45724,Consumables
47305,Consumables
34979,Plant
38677,Plant
41268,Plant
47562,Plant
49948,Plant
32162,Consumables
33714,Consumables
39900,Consumables
40458,Consumables
40458,Consumables
41220,Consumables
41988,Consumables
41991,Consumables
45566,Consumables
46140,Consumables
46271,Consumables
47837,Consumables
48571,Consumables
49025,Consumables
49461,Consumables
49673,Consumables
51171,Consumables
33993,Charge
40230,Charge
45575,Charge
45579,Charge
46087,Charge
46129,Charge
46454,Charge
46582,Charge
46590,Charge
47420,Charge
47870,Charge
48130,Charge
48263,Charge
49053,Charge
49215,Charge
49242,Charge
33870,Parts
34785,Parts
34951,Parts
34976,Parts
39904,Parts
41394,Parts
43172,Parts
43387,Parts
44206,Parts
45085,Parts
45502,Parts
45881,Parts
46461,Parts
46613,Parts
52133,Parts
52793,Parts
63394,Parts
34534,Parts
32250,Charge
34086,Charge
34135,Charge
34645,Charge
43447,Charge
46081,Charge
47317,Charge
35094,Parts
42285,Parts
47364,Parts
33791,Parts
34546,Parts
36793,Parts
44858,Parts
41847,Parts
49362,Parts
48811,Tyres
49124,Tyres
40452,Tyres
44064,Tyres
35182,Tyres
36706,Vehicle & Equipment
37049,Vehicle & Equipment
32487,Vehicle & Equipment
32627,Vehicle & Equipment
34166,Vehicle & Equipment
34758,Vehicle & Equipment
35195,Vehicle & Equipment
35322,Vehicle & Equipment
35413,Vehicle & Equipment
35533,Vehicle & Equipment
35607,Vehicle & Equipment
35670,Vehicle & Equipment
35783,Vehicle & Equipment
35893,Vehicle & Equipment
35931,Vehicle & Equipment
36077,Vehicle & Equipment
36217,Vehicle & Equipment
36240,Vehicle & Equipment
37192,Vehicle & Equipment
38455,Vehicle & Equipment
47007,Vehicle & Equipment
44420,Vehicle & Equipment
34892,Plant
45291,Plant
47939,Plant
48216,Plant
32289,Plant
46062,Plant
46586,Plant
34372,Plant
44125,Vehicle & Equipment
46005,Plant
47354,Vehicle & Equipment
38060,Miscellaneous
30141,Diesel & Petrol
34106,Diesel & Petrol
34417,Diesel & Petrol
35987,Diesel & Petrol
37983,Diesel & Petrol
38295,Diesel & Petrol
39032,Diesel & Petrol
39798,Diesel & Petrol
46270,Diesel & Petrol
47269,Diesel & Petrol
47511,Diesel & Petrol
47709,Diesel & Petrol
52038,Diesel & Petrol
52531,Diesel & Petrol
37271,Miscellaneous
31950,Diesel & Petrol
33941,Driver
34317,Driver
34687,Driver
35131,Driver
35632,Driver
36043,Driver
36525,Driver
36959,Driver
37425,Driver
37867,Driver
38331,Driver
38958,Driver
39520,Driver
40182,Driver
40483,Driver
40980,Driver
41603,Driver
45979,Driver
47093,Driver
47710,Driver
48225,Driver
48850,Driver
49385,Driver
49788,Driver
50285,Driver
52292,Driver
31911,Unskilled Labour
32519,Unskilled Labour
34694,Unskilled Labour
46540,Unskilled Labour
45538,Skilled Labour
48262,Skilled Labour
52130,Skilled Labour
45256,Skilled Labour
48855,HSE
35635,HSE
36433,HSE
36890,HSE
37311,HSE
37810,HSE
38187,HSE
39310,HSE
40043,HSE
40554,HSE
41493,HSE
34413,HSE
34638,HSE
35974,HSE
36372,HSE
37095,HSE
37726,HSE
42026,HSE
50130,HSE
35752,HSE
36416,HSE
39323,HSE
39459,HSE
40371,HSE
40534,HSE
40864,HSE
43974,HSE
44586,HSE
48757,HSE
35034,HSE
47515,HSE
41492,HSE
50667,HSE
36697,HSE
42090,HSE
40820,HSE
46818,HSE
47064,HSE
34170,HSE
34639,HSE
34921,HSE
35248,HSE
35712,HSE
36491,HSE
37631,HSE
38488,HSE
39951,HSE
41588,HSE
43710,HSE
46199,HSE
48275,HSE
51134,HSE
35711,HSE
35924,HSE
36199,HSE
35476,HSE
35813,HSE
37047,HSE
37530,HSE
37630,HSE
48276,HSE
34495,HSE
35216,HSE
36616,HSE
38486,HSE
38606,HSE
38887,HSE
40140,HSE
49425,HSE
49717,HSE
50304,HSE
51833,HSE
34674,HSE
34702,HSE
34824,HSE
35232,HSE
35390,HSE
35775,HSE
36051,HSE
36679,HSE
38315,HSE
39210,HSE
40259,HSE
41784,HSE
42266,HSE
44312,HSE
45097,HSE
45340,HSE
43640,HSE
46289,HSE
51083,HSE
52004,HSE
34265,HSE
34415,HSE
34607,HSE
34908,HSE
35440,HSE
35886,HSE
36130,HSE
36382,HSE
37746,HSE
38041,HSE
38124,HSE
39959,HSE
41587,HSE
41921,HSE
42063,HSE
42465,HSE
49014,HSE
49303,HSE
50245,HSE
50918,HSE
45652,HSE
45739,HSE
46393,HSE
46487,HSE
