Part Code,Series,Description,UOM,Group Code,Group Name,Class Code,Class Name,Activity Code,Activity Name,,,
10101.12041,12041,TILE FIX PW-TF110,Bag,10101,Waterproofing Sundries,56,Site Consumables,3,Structure,,,
10101.12042,12042,TILE FILL PW-TF200,Bag,10101,Waterproofing Sundries,56,Site Consumables,3,Structure,,,
10201.10517,10517,QATAR STEEL REBAR (25 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10518,10518,QATAR STEEL REBAR (20 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10519,10519,QATAR STEEL REBAR (10 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10520,10520,QATAR STEEL REBAR (18 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10521,10521,QATAR STEEL REBAR (16 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10522,10522,QATAR STEEL REBAR (14 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10523,10523,QATAR STEEL REBAR (12 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10524,10524,QATAR STEEL REBAR (8 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10595,10595,WELDED WIRE MESH 2.4 X 4.8 X 08MM,Pcs,10201,Rebar,4,Rebar,3,Structure,,,
10201.10880,10880,EPOXY QATAR STEEL 10 MM,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10881,10881,EPOXY QATAR STEEL 16 MM,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10978,10978,QATAR STEEL REBAR (40 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.10979,10979,STEEL DELIVERY CHARGES,Trip,10201,Rebar,4,Rebar,3,Structure,,,
10201.10999,10999,STEEL BENDING,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.11049,11049,QATAR STEEL REBAR (22 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.11059,11059,WELDED WIRE MESH 2.4 X 4.8 X 07MM,Pcs,10201,Rebar,4,Rebar,3,Structure,,,
10201.11163,11163,WELDED WIRE MESH 2.4 X 4.8 X 10MM,Pcs,10201,Rebar,4,Rebar,3,Structure,,,
10201.11326,11326,QATAR STEEL REBAR (32 MM),Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.11365,11365,12MM EPOXY COATED CUT AND BENT REBAR STEEL,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.11366,11366,16MM EPOXY COATED CUT AND BENT REBAR STEEL,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.11367,11367,20MM EPOXY COATED CUT AND BENT REBAR STEEL,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.11368,11368,32MM EPOXY COATED CUT AND BENT REBAR STEEL,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.11369,11369,FIXING CHARGES FOR CUT AND BEND REBAR STEEL,Sum,10201,Rebar,4,Rebar,3,Structure,,,
10201.11370,11370,TRANSPORTATION OF CUT AND BEND REBAR STEEL,Trip,10201,Rebar,4,Rebar,3,Structure,,,
10201.11371,11371,20MM STEEL COUPLER,Pcs,10201,Rebar,4,Rebar,3,Structure,,,
10201.11372,11372,32MM STEEL COUPLER,Pcs,10201,Rebar,4,Rebar,3,Structure,,,
10201.11373,11373,EPOXY COATED BINDING WIRE,Pcs,10201,Rebar,4,Rebar,3,Structure,,,
10201.11568,11568,PFC 380MM*100MM*12M*54KG/M - S355JR,Pcs,10201,Rebar,4,Rebar,3,Structure,,,
10201.12012,12012,EPOXY QATAR STEEL 12 MM,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.12322,12322,WELDED WIRE MESH 2.4 X 4.8 X 6MM,Pcs,10201,Rebar,4,Rebar,3,Structure,,,
10201.14127,14127,REBAR CUTTING & ENGINEERING CHARGES,Ton,10201,Rebar,4,Rebar,3,Structure,,,
10201.14126,14126,POST TENSION,m2,10201,Rebar,151,Structural Works,3,Structure,,,
10202.10031,10031,BAR BENDER (12 MM),Ton,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10032,10032,BAR BENDER (14 MM),Ton,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10033,10033,BAR BENDER (16 MM),Ton,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10034,10034,BAR BENDER (20 MM),Ton,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10035,10035,BAR BENDER (8 MM),Ton,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10044,10044,BINDING WIRE,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10264,10264,KALBA,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10409,10409,REBAR CAP (10 MM),Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10410,10410,REBAR CAP (12 MM),Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10411,10411,REBAR CAP (14 MM),Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10412,10412,REBAR CAP,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10436,10436,RUST REMOVER CHEMICAL,Litre,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
