Site,PO,ID No,Vendor,Value
HO,25103,11387,Blue Skies Trading and Contracting,500
152,25104,11258,Falkland Electricals and Trading Co. W.L.L,9381.6
152,25105,10160,Lemax Electrical & Mechanical Trading,2730
HO,25106,10248,Saad Bin Majid Trading Co. W.L.L,9397
155,25107,11304,SunTech Trading Co. W.L.L,1450
155,25108,19999,Cash,36
152,25109,10209,Madar Building Materials,4800
157,25111,19999,Cash,900
129,25112,19999,Cash,60
HO,25113,19999,Cash,55
157,25114,10239,Abdel Latif,5779.9
HO,25115,19999,Cash,2264
M1,25116,10196,Capital Trading Est.,5610
HO,25117,19999,Cash,11086
152,25118,10220,Al - Andalus Marble Decor And Granite Co.,3200
157,25119,19999,Cash,140
155,25120,10137,Qatar Building Co,2056
155,25121,19999,Cash,668
155,25122,11365,Safetech Electro Mechanic Trading & Contracting,5274
155,25123,11304,SunTech Trading Co. W.L.L,2900
155,25124,11254,New Tools and Bolts Trading,423
155,25125,19999,Cash,108
157,25126,11254,New Tools and Bolts Trading,100
152,25127,11346,Dallas Trading Co. LLC,7200
152,25129,11254,New Tools and Bolts Trading,1190
132,25130,11254,New Tools and Bolts Trading,280
152,25131,19999,Cash,210
152,25133,19999,Cash,200
155,25134,19999,Cash,939
155,25135,19999,Cash,600
152,25136,10239,Abdel Latif,140303.65
HO,25137,19999,Cash,1120
157,25138,19999,Cash,39.5
HO,25139,19999,Cash,4103
155,25140,10126,Hempel Paints,3175.6
155,25141,11254,New Tools and Bolts Trading,360
152,25142,19999,Cash,510
152,25143,19999,Cash,480
152,25144,19999,Cash,805
152,25145,11254,New Tools and Bolts Trading,750
155,25146,10209,Madar Building Materials,10500
155,25147,19999,Cash,40
155,25148,19999,Cash,690
155,25149,19999,Cash,810
155,25150,19999,Cash,390
HO,25151,19999,Cash,117
155,25152,30272,Consol Construction & Trading,41748.64
155,25153,10126,Hempel Paints,3952.5
M18,25154,19999,Cash,35
152,25155,19999,Cash,400
152,25156,10245,Don Construction Products - Qatar W.L.L,1000
152,25157,19999,Cash,1470
152,25158,11254,New Tools and Bolts Trading,480
152,25159,19999,Cash,1400
HO,25160,19999,Cash,0
157,25161,11340,Asia Trading Engineering and Services Co.,5300
155,25162,19999,Cash,240
160,25163,10196,Capital Trading Est.,11000.22
155,25164,11254,New Tools and Bolts Trading,2295
155,25165,11254,New Tools and Bolts Trading,10500
152,25166,11229,Texon Trading and Contracting,12140
156,25167,10164,Gulf Laboratories Co.,14245
155,25168,10209,Madar Building Materials,75619
152,25169,10245,Don Construction Products - Qatar W.L.L,1700
152,25170,11254,New Tools and Bolts Trading,3275
159,25171,19999,Cash,80
159,25172,19999,Cash,1200
155,25173,30256,Prime Food and Technologies L.L.C,76440
155,25174,30199,Hadara Doha for General Contracting,52350
129,25175,19999,Cash,936
156,25176,11278,Concord Surveying Works Co.,2500
152,25177,11254,New Tools and Bolts Trading,1200
155,25178,10159,KG Plastic,744
M1,25179,10196,Capital Trading Est.,385
123,25180,30199,Hadara Doha for General Contracting,4500
M10,25181,30190,Al - Rafidain Co.,1900
152,25182,19999,Cash,200
155,25183,19999,Cash,265
161,25184,10164,Gulf Laboratories Co.,14000
152,25185,19999,Cash,204
161,25186,11278,Concord Surveying Works Co.,2500
155,25187,19999,Cash,2470
HO,25188,19999,Cash,178
HO,25189,19999,Cash,2488
152,25190,19999,Cash,2488
155,25191,10209,Madar Building Materials,22500
157,25193,19999,Cash,15
155,25194,19999,Cash,280
