Site,PO,ID No,Vendor,Value
159,33770,19999,Cash,1710
M1,33771,19999,Cash,1300
100,33772,10139,Qatar Islamic Insurance,1080
144,33773,19999,Cash,199
144,33774,19999,Cash,1850
100,33775,10248,Saad Bin Majid Trading Co. W.L.L,85
159,33776,10126,Hempel Paints,2698.75
159,33777,19999,Cash,1600
159,33778,11254,New Tools and Bolts Trading,1500
159,33779,10245,Don Construction Products - Qatar W.L.L,1700
159,33780,19999,Cash,318
159,33781,19999,Cash,554
152,33782,11362,Hafele W.L.L,1279.16
M18,33783,10248,Saad Bin Majid Trading Co. W.L.L,114
123,33784,10248,Saad Bin Majid Trading Co. W.L.L,341
123,33785,30215,Abdul Hamid Abdul Rahim Al Emadi Trading Company,1900
100,33786,19999,Cash,441
159,33787,11254,New Tools and Bolts Trading,340
159,33788,11254,New Tools and Bolts Trading,280
100,33789,19999,Cash,220
159,33790,19999,Cash,3855
161,33791,19999,Cash,2845
100,33792,19999,Cash,1365
123,33793,19999,Cash,15
159,33794,10239,Abdel Latif,3000
159,33795,10239,Abdel Latif,3000
159,33796,19999,Cash,2744
159,33797,11263,Expanded Metal Manufacturing Co. Ltd.,1375
159,33798,10245,Don Construction Products - Qatar W.L.L,1500
159,33799,19999,Cash,34
159,33800,19999,Cash,700
100,33801,10142,Smeet Ready Mix,4989
161,33802,10239,Abdel Latif,4025
159,33803,19999,Cash,770
159,33804,11285,Olive Office Trading,78
159,33805,11254,New Tools and Bolts Trading,120
159,33806,11254,New Tools and Bolts Trading,80
139,33807,11383,Metri Engineering Service W.L.L,7500
M17,33808,11459,Petrogold Trading & Contracting Co. W.L.L,3000
161,33809,19999,Cash,720
161,33810,11254,New Tools and Bolts Trading,190
100,33811,11466,Cozmo Travel,5850
159,33812,11254,New Tools and Bolts Trading,6542
159,33813,19999,Cash,170
159,33814,11254,New Tools and Bolts Trading,338
159,33815,30203,Arab Dewatering Survey and Services,33447
M161,33816,19999,Cash,10000
159,33817,30190,Al - Rafidain Co.,70500
159,33818,30203,Arab Dewatering Survey and Services,73806.42
159,33819,30288,Al Deeb Contracting & Transportation & Trading,2050
100,33820,19999,Cash,89
147,33821,19999,Cash,150
100,33823,19999,Cash,424
100,33824,11298,Ooredoo Q.S.C,1400.25
123,33825,11298,Ooredoo Q.S.C,500
159,33826,11298,Ooredoo Q.S.C,500
100,33827,11298,Ooredoo Q.S.C,2700
159,33828,11298,Ooredoo Q.S.C,5265
155,33829,10240,ALNAHA FOR TRADING & CONTRACTING,1000
122,33830,11298,Ooredoo Q.S.C,90
161,33831,11298,Ooredoo Q.S.C,90
m4,33832,11298,Ooredoo Q.S.C,150
100,33833,11442,Zoom Trading W.L.L,350
159,33834,11254,New Tools and Bolts Trading,1220
159,33835,10159,KG Plastic,16530
M1,33836,30328,Dhub,30000
159,33837,30170,Sea Gulf For Equipment Company W.L.L,50635
100,33838,19999,Cash,825
100,33839,11302,Ralee Computers W.L.L,135
159,33840,11302,Ralee Computers W.L.L,45
159,33841,19999,Cash,275
137.19,33842,19999,Cash,406.66
137.17,33843,19999,Cash,813.32
159,33844,11254,New Tools and Bolts Trading,1517
159,33845,10209,Madar Building Materials,116400
159,33846,11337,Power Max Trading and Contracting Co. W.L.L,2625
159,33847,19999,Cash,1330
159,33848,19999,Cash,1436
159,33849,11237,Aslak Trading & General Contracting,6006
144,33850,11237,Aslak Trading & General Contracting,496
161,33851,11254,New Tools and Bolts Trading,5328
161,33852,19999,Cash,645
161,33853,19999,Cash,1950
161,33854,19999,Cash,7100
161,33855,19999,Cash,1250
159,33856,11254,New Tools and Bolts Trading,1685
159,33857,11351,Jotun Paints Qatar,30950
159,33858,11254,New Tools and Bolts Trading,1800
159,33859,11410,Unipro Qatar,1635
159,33860,11249,Adastra W.L.L,37440.08
161,33861,11442,Zoom Trading W.L.L,695.75
100,33862,19999,Cash,797.75
123,33863,11254,New Tools and Bolts Trading,240
100,33864,11466,Cozmo Travel,2460
161,33865,11237,Aslak Trading & General Contracting,6990
159,33866,11447,Doka Qatar W.L.L,17683.47
144,33867,30125,Narang Projects,5500
144,33868,11254,New Tools and Bolts Trading,85
161,33869,30215,Abdul Hamid Abdul Rahim Al Emadi Trading Company,1900
161,33870,19999,Cash,1193
100,33871,11251,E-Government,5541
159,33872,11351,Jotun Paints Qatar,6625
100,33873,11349,Canon Office Imaging Solutions L.L.C,1120
159,33874,10126,Hempel Paints,6970
159,33875,11263,Expanded Metal Manufacturing Co. Ltd.,550
159,33876,10151,Hilti Qatar W.L.L,652.85
159,33877,19999,Cash,220
159,33878,11254,New Tools and Bolts Trading,1310
100,33879,11302,Ralee Computers W.L.L,435
159,33880,19999,Cash,1950
159,33881,19999,Cash,1300
159,33882,19999,Cash,3900
159,33883,19999,Cash,900
159,33884,19999,Cash,10800
159,33885,19999,Cash,860
159,33886,10240,ALNAHA FOR TRADING & CONTRACTING,4550
100,33887,11442,Zoom Trading W.L.L,1395
159,33888,19999,Cash,2739
159,33889,19999,Cash,964
144,33890,19999,Cash,68
M4,33891,19999,Cash,765
M1,33892,19999,Cash,10000
144,33893,11237,Aslak Trading & General Contracting,153
161,33894,11237,Aslak Trading & General Contracting,481
M22,33895,11237,Aslak Trading & General Contracting,485
100,33896,10230,59 Real Estate,120000
144,33897,30291,Safeguard Trading & Contracting Co.,46250
123,33898,30215,Abdul Hamid Abdul Rahim Al Emadi Trading Company,1900
159,33899,10239,Abdel Latif,28675
159,33900,11254,New Tools and Bolts Trading,1945
159,33901,11254,New Tools and Bolts Trading,100
100,33902,19999,Cash,2000
100,33903,19999,Cash,14250
100,33904,19999,Cash,1820
M17,33905,19999,Cash,5020
159,33906,10151,Hilti Qatar W.L.L,6444
159,33907,11258,Falkland Electricals and Trading Co. W.L.L,14065
159,33908,30333,EPCAR Trading & Contracting Engineering Co.,15120
123,33909,11254,New Tools and Bolts Trading,400
100,33910,19999,Cash,485
159,33911,11254,New Tools and Bolts Trading,300
159,33912,11302,Ralee Computers W.L.L,130
123,33913,19999,Cash,7985
161,33914,11254,New Tools and Bolts Trading,704
159,33915,11351,Jotun Paints Qatar,8400
159,33916,11254,New Tools and Bolts Trading,1453
159,33917,19999,Cash,700
159,33918,19999,Cash,34
159,33919,10239,Abdel Latif,3400
161,33920,19999,Cash,120
100,33921,19999,Cash,1260
159,33922,10239,Abdel Latif,6500
159,33923,11382,Khatib & Alami Consolidated Engineering Company,215884.62
159,33924,10140,Qatar National Cement Co,60720.58
161,33925,19999,Cash,4725
159,33926,11450,Amiantit Qatar Pipes Co. Ltd.,5120
100,33927,11428,IT Cloud Trading and Programming WLL,113
161,33928,11428,IT Cloud Trading and Programming WLL,113
159,33929,19999,Cash,550
159,33930,19999,Cash,1680
159,33931,10239,Abdel Latif,8500
160,33932,10196,Capital Trading Est.,1925
159,33933,11412,Gulf Ceramic,6883.2
100,33934,19999,Cash,428
144,33935,19999,Cash,15
159,33936,30324,National Waterproofing & Restoration W.L.L,297097.76
161,33937,19999,Cash,94
162,33938,11254,New Tools and Bolts Trading,220
100,33939,10169,IBA Real Estate,183400
M17,33940,19999,Cash,4200
161,33941,19999,Cash,506.04
155,33942,19999,Cash,630.83
123,33943,19999,Cash,60
M18,33944,19999,Cash,1612.5
122,33945,19999,Cash,1800
159,33946,19999,Cash,5767.92
159,33947,30313,Sawakin Maintenance & Cleaning Company,10830
159,33948,11284,Almoayyed Commercial Services,100
159,33949,11284,Almoayyed Commercial Services,500
159,33950,19999,Cash,580
159,33951,19999,Cash,480
161,33952,10239,Abdel Latif,3953.13
161,33953,10239,Abdel Latif,4200
159,33954,19999,Cash,1700
159,33955,11254,New Tools and Bolts Trading,870
161,33956,10159,KG Plastic,7200
159,33957,11254,New Tools and Bolts Trading,1065
M17,33958,11251,E-Government,6100
M4,33959,11251,E-Government,100
100,33960,11251,E-Government,11950
159,33961,11251,E-Government,73924
100,33962,19999,Cash,3
123,33963,19999,Cash,912
m4,33964,19999,Cash,150
161,33965,19999,Cash,813
155,33966,19999,Cash,767
M147,33967,19999,Cash,120
M18,33968,19999,Cash,600.03
144,33969,19999,Cash,35
159,33970,11254,New Tools and Bolts Trading,259
159,33971,10245,Don Construction Products - Qatar W.L.L,600
159,33972,11254,New Tools and Bolts Trading,3187
161,33973,11254,New Tools and Bolts Trading,253
139,33974,30335,Floranza International Nursery W.L.L,500
161,33975,19999,Cash,154
100,33976,19999,Cash,311
144,33977,19999,Cash,460
159,33978,19999,Cash,1000
161,33979,11237,Aslak Trading & General Contracting,899
M147,33980,11237,Aslak Trading & General Contracting,2251
139,33981,11220,Mary for Cleaning Pest Control and Trad,400
159,33982,19999,Cash,1690
144,33983,11237,Aslak Trading & General Contracting,200
100,33984,11349,Canon Office Imaging Solutions L.L.C,1120
159,33985,10239,Abdel Latif,6400
100,33986,19999,Cash,11247
159,33987,10209,Madar Building Materials,92160
159,33988,10151,Hilti Qatar W.L.L,790
159,33989,19999,Cash,160
159,33990,11254,New Tools and Bolts Trading,1289
161,33991,10239,Abdel Latif,4200
161,33992,10239,Abdel Latif,1500
161,33993,19999,Cash,1223
162,33994,10239,Abdel Latif,500
100,33995,19999,Cash,210
M1,33996,30171,IBA Aluminium,11000
100,33997,10234,Qatar Fuel (WOQOD),7533.32
122,33998,10234,Qatar Fuel (WOQOD),93.46
161,33999,10234,Qatar Fuel (WOQOD),12208.09
144,34000,30171,IBA Aluminium,22000
159,34001,10234,Qatar Fuel (WOQOD),103972.64
159,34002,30266,United Technical Services Co. W.L.L,22991
M17,34003,11251,E-Government,2340
159,34004,30203,Arab Dewatering Survey and Services,8372
159,34005,11251,E-Government,3610
161,34006,11254,New Tools and Bolts Trading,4080
159,34007,30203,Arab Dewatering Survey and Services,31741.38
M4,34008,11251,E-Government,1840
161,34009,19999,Cash,3662
M17,34010,11470,Alabama Trading,4700
100,34011,19999,Cash,449
162,34012,30105,Bonyan Al-Fadil For Trading and Construction,28420
161,34013,19999,Cash,325
159,34014,10142,Smeet Ready Mix,589891.5
159,34015,19999,Cash,350
100,34016,19999,Cash,295
100,34017,19999,Cash,654
159,34018,30170,Sea Gulf For Equipment Company W.L.L,60230
M18,34019,19999,Cash,100.01
123,34020,19999,Cash,2221
159,34021,11254,New Tools and Bolts Trading,481
152,34022,30215,Abdul Hamid Abdul Rahim Al Emadi Trading Company,39600
159,34023,11284,Almoayyed Commercial Services,690
159,34024,10239,Abdel Latif,13375
162,34025,11254,New Tools and Bolts Trading,96
100,34026,19999,Cash,151
159,34027,11337,Power Max Trading and Contracting Co. W.L.L,1050
M23,34028,30334,Abdul Hamid Abul Ali,101000
100,34029,19999,Cash,20
M1,34030,19999,Cash,3130
M1,34031,19999,Cash,36
137.17,34032,19999,Cash,15
159,34033,10248,Saad Bin Majid Trading Co. W.L.L,9575
161,34034,19999,Cash,188
100,34035,11407,Imax Trading & Contracting W.L.L,1400
100,34036,19999,Cash,45
161,34037,19999,Cash,495
159,34039,11254,New Tools and Bolts Trading,2514
159,34040,10209,Madar Building Materials,28800
91,34041,19999,Cash,1860
159,34043,19999,Cash,300
159,34044,11351,Jotun Paints Qatar,12850
159,34045,10126,Hempel Paints,8075
159,34046,19999,Cash,919
161,34047,19999,Cash,600
100,34048,19999,Cash,235
159,34049,19999,Cash,3441
M4,34050,11466,Cozmo Travel,700
100,34051,19999,Cash,175
159,34052,19999,Cash,413.66
159,34053,10239,Abdel Latif,13375
159,34054,11254,New Tools and Bolts Trading,936
159,34055,11237,Aslak Trading & General Contracting,1007
159,34056,19999,Cash,415
161,34057,19999,Cash,218
159,34058,19999,Cash,824
159,34059,10239,Abdel Latif,600
100,34060,19999,Cash,50839
144,34061,19999,Cash,1000
161,34062,11228,Printek Computers W.L.L,265
159,34063,11228,Printek Computers W.L.L,265
159,34064,11336,Gazzaoui and Partners Qatar W.L.L,28500
159,34065,10159,KG Plastic,8642.1
159,34066,19999,Cash,150
M1,34067,19999,Cash,24
M18,34068,19999,Cash,100
155,34069,19999,Cash,249
161,34070,19999,Cash,83
162,34071,19999,Cash,120
159,34072,10245,Don Construction Products - Qatar W.L.L,510
159,34073,19999,Cash,440
159,34074,11254,New Tools and Bolts Trading,1960
100,34075,11373,DLI Technology & Information Systems,10000
159,34076,19999,Cash,1500
159,34077,19999,Cash,9900
159,34078,19999,Cash,150
159,34079,19999,Cash,3600
159,34080,19999,Cash,1000
159,34081,11381,Rodha Khalid Co.,5000
159,34082,19999,Cash,0
159,34083,19999,Cash,140
159,34084,19999,Cash,150
161,34085,10239,Abdel Latif,2156.4
161,34086,19999,Cash,1720
100,34087,19999,Cash,270
159,34088,19999,Cash,7850
159,34089,11237,Aslak Trading & General Contracting,5552
159,34090,19999,Cash,1074.12
159,34091,19999,Cash,1690
161,34092,11237,Aslak Trading & General Contracting,3385
161,34093,19999,Cash,115
144,34094,11237,Aslak Trading & General Contracting,1684
100,34095,19999,Cash,100
159,34096,10151,Hilti Qatar W.L.L,418
159,34097,19999,Cash,114
159,34098,10245,Don Construction Products - Qatar W.L.L,1160
159,34099,11254,New Tools and Bolts Trading,1135
159,34100,11254,New Tools and Bolts Trading,273
161,34101,10239,Abdel Latif,500
100,34102,19999,Cash,403
M21,34103,10126,Hempel Paints,1109.25
M4,34104,30257,Al Andalus Furniture,8000
161,34105,10139,Qatar Islamic Insurance,750
161,34106,19999,Cash,850
161,34107,19999,Cash,166
100,34108,19999,Cash,10
123,34109,11254,New Tools and Bolts Trading,156
100,34110,11298,Ooredoo Q.S.C,784.28
159,34111,11298,Ooredoo Q.S.C,500
123,34112,11285,Olive Office Trading,195
159,34113,19999,Cash,110
159,34114,11254,New Tools and Bolts Trading,1402
159,34115,10239,Abdel Latif,500
159,34116,11285,Olive Office Trading,1404
159,34117,19999,Cash,560
123,34118,19999,Cash,1903
159,34119,10159,KG Plastic,1440
159,34120,11254,New Tools and Bolts Trading,957
162,34121,30310,Signmax Trading W.L.L,7750
m1,34122,19999,Cash,1300
159,34123,19999,Cash,83
159,34124,11337,Power Max Trading and Contracting Co. W.L.L,9200
161,34125,11320,Fahad Bin Abdulla Block & Interlock Factory,1755
161,34126,19999,Cash,440
159,34127,11254,New Tools and Bolts Trading,702
159,34128,10239,Abdel Latif,16250
M4,34129,19999,Cash,89
162,34130,19999,Cash,370
161,34131,19999,Cash,50
M18,34132,19999,Cash,100
M147,34133,11237,Aslak Trading & General Contracting,3374
M18,34134,19999,Cash,207
161,34135,19999,Cash,2170
159,34136,19999,Cash,1465
100,34137,19999,Cash,725
161,34138,10160,Lemax Electrical & Mechanical Trading,1200
152,34139,11393,Smeet Precast,1620
159,34140,11393,Smeet Precast,7500
159,34141,11351,Jotun Paints Qatar,8400
100,34142,11469,Almoe AV Solutions W.L.L,2895
159,34143,19999,Cash,124
159,34144,11254,New Tools and Bolts Trading,2340
161,34145,10245,Don Construction Products - Qatar W.L.L,7785
161,34146,11254,New Tools and Bolts Trading,400
M161,34147,11240,Qatar General Electricity & Water Corporation,10484
100,34148,19999,Cash,339
161,34149,10239,Abdel Latif,4600.32
161,34150,11254,New Tools and Bolts Trading,3418
161,34151,19999,Cash,1912
161,34152,10209,Madar Building Materials,190080
159,34153,19999,Cash,300
159,34154,10209,Madar Building Materials,86400
161,34155,19999,Cash,250
100,34156,19999,Cash,2574
161,34157,10239,Abdel Latif,600
123,34158,11254,New Tools and Bolts Trading,335
M147,34159,11400,Fawaz Refrigeration & Air Conditioning,6250
100,34160,19999,Cash,762
159,34162,11425,Excel Trading W.L.L,8433
159,34163,11254,New Tools and Bolts Trading,215
161,34164,10235,Al Tofei Trading,10725
161,34165,19999,Cash,230
161,34166,19999,Cash,2170
159,34167,19999,Cash,265
159,34168,11254,New Tools and Bolts Trading,1620
159,34169,10209,Madar Building Materials,155520
161,34170,11285,Olive Office Trading,1950
161,34171,10209,Madar Building Materials,13710
161,34172,11254,New Tools and Bolts Trading,270
M23,34173,11400,Fawaz Refrigeration & Air Conditioning,4400
161,34174,19999,Cash,90
159,34175,11257,Mannai Trading Co. W.L.L,833
159,34176,19999,Cash,713
100,34177,19999,Cash,380
159,34178,10239,Abdel Latif,8500
161,34179,10209,Madar Building Materials,86515.2
159,34180,19999,Cash,350
100,34181,11298,Ooredoo Q.S.C,1375.05
123,34182,11298,Ooredoo Q.S.C,500
159,34183,11298,Ooredoo Q.S.C,500
161,34184,11298,Ooredoo Q.S.C,383.33
161,34185,10248,Saad Bin Majid Trading Co. W.L.L,2711
140,34186,10196,Capital Trading Est.,375
144,34187,10196,Capital Trading Est.,1251.25
140,34188,11257,Mannai Trading Co. W.L.L,3700
137.19,34189,10196,Capital Trading Est.,2016
100,34190,11228,Printek Computers W.L.L,700
100,34191,19999,Cash,35
161,34192,11228,Printek Computers W.L.L,570
100,34193,19999,Cash,400
100,34194,11228,Printek Computers W.L.L,600
159,34195,11412,Gulf Ceramic,8627.4
137.19,34196,10202,Maysaloon Engineering Co.,1105
100,34197,19999,Cash,360
161,34198,11254,New Tools and Bolts Trading,117
161,34199,11254,New Tools and Bolts Trading,961
161,34200,19999,Cash,70
161,34201,19999,Cash,412
144,34202,30171,IBA Aluminium,2000
159,34203,10245,Don Construction Products - Qatar W.L.L,1000
161,34204,10209,Madar Building Materials,531360
161,34205,19999,Cash,450
161,34206,19999,Cash,493.04
159,34207,19999,Cash,1500
159,34208,19999,Cash,1200
159,34209,19999,Cash,600
100,34210,11298,Ooredoo Q.S.C,2690
159,34211,11351,Jotun Paints Qatar,15270
159,34212,10239,Abdel Latif,600
159,34213,11254,New Tools and Bolts Trading,1015
161,34214,11254,New Tools and Bolts Trading,525
161,34215,19999,Cash,120
159,34216,11254,New Tools and Bolts Trading,1850
123,34217,11285,Olive Office Trading,195
159,34218,19999,Cash,480
159,34219,11298,Ooredoo Q.S.C,4510
122,34220,11298,Ooredoo Q.S.C,90
161,34221,11298,Ooredoo Q.S.C,805
m4,34222,11298,Ooredoo Q.S.C,183.67
161,34223,10239,Abdel Latif,1653.24
159,34224,19999,Cash,7442
159,34225,19999,Cash,913
161,34226,19999,Cash,880
161,34227,10159,KG Plastic,2673.46
100,34228,11302,Ralee Computers W.L.L,320
161,34229,19999,Cash,680
100,34230,19999,Cash,515
161,34231,19999,Cash,80
161,34232,19999,Cash,2600
159,34233,11254,New Tools and Bolts Trading,3310
159,34234,19999,Cash,595
159,34235,19999,Cash,1800
159,34236,19999,Cash,5000
159,34237,11257,Mannai Trading Co. W.L.L,38000
123,34238,19999,Cash,283
161,34239,11284,Almoayyed Commercial Services,250
159,34240,10159,KG Plastic,2442.5
100,34241,19999,Cash,210
161,34242,19999,Cash,160
161,34243,11254,New Tools and Bolts Trading,4295
161,34244,19999,Cash,284
159,34245,19999,Cash,73
159,34246,11285,Olive Office Trading,11700
100,34247,19999,Cash,40
159,34248,11254,New Tools and Bolts Trading,1165
100,34249,19999,Cash,100
100,34250,19999,Cash,187
159,34251,19999,Cash,1000
162,34252,19999,Cash,160
123,34253,19999,Cash,2719
100,34255,19999,Cash,150
161,34256,19999,Cash,4809
159,34257,19999,Cash,700
159,34258,19999,Cash,2734
159,34259,19999,Cash,1250
161,34260,10140,Qatar National Cement Co,8917.14
161,34261,11237,Aslak Trading & General Contracting,4560
100,34262,19999,Cash,540
100,34263,11259,KPMG,7500
159,34264,10159,KG Plastic,4985
161,34265,11254,New Tools and Bolts Trading,507
161,34266,11254,New Tools and Bolts Trading,240
159,34267,11254,New Tools and Bolts Trading,858
159,34268,10239,Abdel Latif,4250
159,34269,10239,Abdel Latif,600
159,34270,10239,Abdel Latif,3150
100,34271,11466,Cozmo Travel,2970
161,34272,11254,New Tools and Bolts Trading,170
161,34273,19999,Cash,1700
100,34274,11349,Canon Office Imaging Solutions L.L.C,1120
100,34275,19999,Cash,563
161,34276,11254,New Tools and Bolts Trading,625
159,34277,19999,Cash,783
159,34278,11254,New Tools and Bolts Trading,2490
159,34279,19999,Cash,220
123,34280,19999,Cash,400
161,34281,10160,Lemax Electrical & Mechanical Trading,1500
100,34283,19999,Cash,5468
159,34284,19999,Cash,1095
159,34285,10131,Marine Trading & Contracting Co.,21500
161,34286,19999,Cash,1226.88
161,34287,19999,Cash,120
159,34288,19999,Cash,700
159,34289,19999,Cash,650
161,34290,19999,Cash,360
159,34291,19999,Cash,276
144,34292,10196,Capital Trading Est.,4220
137.19,34293,10196,Capital Trading Est.,4220
140,34294,10196,Capital Trading Est.,2110
161,34295,19999,Cash,249
161,34296,10151,Hilti Qatar W.L.L,201.6
161,34297,11254,New Tools and Bolts Trading,170
159,34298,11320,Fahad Bin Abdulla Block & Interlock Factory,4700
159,34299,11254,New Tools and Bolts Trading,190
159,34300,10239,Abdel Latif,12750
159,34301,19999,Cash,1140
159,34302,10151,Hilti Qatar W.L.L,652.85
161,34303,19999,Cash,75
159,34304,10151,Hilti Qatar W.L.L,2611.4
159,34305,11351,Jotun Paints Qatar,8400
100,34306,19999,Cash,40
159,34307,11254,New Tools and Bolts Trading,428
161,34308,11254,New Tools and Bolts Trading,107
159,34309,39025,Dos Mohamed Group,3689.88
161,34310,11337,Power Max Trading and Contracting Co. W.L.L,1362.5
123,34311,19999,Cash,120
122,34312,19999,Cash,1800
M18,34313,19999,Cash,1622.92
155,34314,19999,Cash,80
M17,34315,19999,Cash,2600
159,34316,19999,Cash,3552.3
161,34317,19999,Cash,2168.58
161,34318,11251,E-Government,1220
M4,34319,11251,E-Government,14280
M17,34320,11251,E-Government,1340
100,34321,11251,E-Government,5460
123,34322,11251,E-Government,3660
159,34323,11251,E-Government,69951
161,34324,10239,Abdel Latif,1218.8
161,34325,19999,Cash,1200
159,34326,10159,KG Plastic,2880
159,34327,10245,Don Construction Products - Qatar W.L.L,2600
159,34328,19999,Cash,420
100,34329,19999,Cash,617
159,34330,10209,Madar Building Materials,567501.86
159,34331,30203,Arab Dewatering Survey and Services,8000
161,34332,11449,Qatar Pipeline & Fittings Co. W.L.L,1092.6
161,34333,11254,New Tools and Bolts Trading,3855
161,34334,10235,Al Tofei Trading,32500
161,34335,19999,Cash,170
161,34336,10209,Madar Building Materials,15000
159,34337,19999,Cash,380
100,34338,11254,New Tools and Bolts Trading,1000
159,34339,19999,Cash,1250
161,34340,19999,Cash,1644
152,34341,11337,Power Max Trading and Contracting Co. W.L.L,2900
161,34342,10142,Smeet Ready Mix,88160
161,34343,19999,Cash,198
159,34344,11254,New Tools and Bolts Trading,2445
159,34345,11320,Fahad Bin Abdulla Block & Interlock Factory,39750
100,34346,11325,Doha Modern Printing Press LTD.,200
159,34347,11237,Aslak Trading & General Contracting,12793.9
159,34348,30175,SMEET Precast W.L.L,26803.8
123,34349,19999,Cash,280
159,34350,11254,New Tools and Bolts Trading,195
159,34351,10209,Madar Building Materials,89813.62
159,34352,11254,New Tools and Bolts Trading,6294
161,34353,19999,Cash,572
159,34354,19999,Cash,1134
159,34355,19999,Cash,1500
159,34356,10140,Qatar National Cement Co,29911.6
161,34357,11471,Grand Store Trading and Contracting,392600
100,34358,19999,Cash,358
159,34359,11302,Ralee Computers W.L.L,195
159,34360,19999,Cash,500
123,34361,19999,Cash,552
159,34362,19999,Cash,900
159,34363,19999,Cash,580
100,34364,19999,Cash,3
100,34365,19999,Cash,204
161,34366,19999,Cash,215
139,34367,11220,Mary for Cleaning Pest Control and Trad,400
129,34368,19999,Cash,2384
100,34369,19999,Cash,2830
159,34370,11382,Khatib & Alami Consolidated Engineering Company,196884.62
159,34371,19999,Cash,5796.01
161,34372,19999,Cash,1753
139,34373,30335,Floranza International Nursery W.L.L,500
161,34375,11237,Aslak Trading & General Contracting,5962
159,34376,10239,Abdel Latif,13350
159,34377,10126,Hempel Paints,4037.5
159,34378,11410,Unipro Qatar,2270
159,34379,11442,Zoom Trading W.L.L,150
159,34380,11254,New Tools and Bolts Trading,2425
M4,34381,11251,E-Government,850
144,34382,11251,E-Government,804
m17,34383,11251,E-Government,14900
161,34384,11251,E-Government,10
100,34385,11251,E-Government,1607
159,34386,10142,Smeet Ready Mix,315038.5
159,34387,10240,ALNAHA FOR TRADING & CONTRACTING,4550
147,34388,11237,Aslak Trading & General Contracting,42
159,34389,10159,KG Plastic,4193
159,34390,19999,Cash,300
159,34391,10209,Madar Building Materials,59883.72
159,34392,11254,New Tools and Bolts Trading,200
161,34393,11254,New Tools and Bolts Trading,125
161,34394,19999,Cash,140
159,34395,10245,Don Construction Products - Qatar W.L.L,1825
161,34396,10209,Madar Building Materials,128988.6
162,34397,10239,Abdel Latif,1000
159,34398,19999,Cash,565
100,34399,10234,Qatar Fuel (WOQOD),8779.54
159,34400,10234,Qatar Fuel (WOQOD),44578.05
161,34402,10234,Qatar Fuel (WOQOD),28599.73
122,34403,10234,Qatar Fuel (WOQOD),189.61
161,34404,10239,Abdel Latif,500
159,34405,10139,Qatar Islamic Insurance,15352
142,34406,10245,Don Construction Products - Qatar W.L.L,140
161,34407,11472,Computer Plus,4350
161,34408,30120,Kone Elevators LLC,820000
159,34409,11337,Power Max Trading and Contracting Co. W.L.L,1750
161,34410,10239,Abdel Latif,500
159,34411,11330,Trucks and Cranes L.L.C,4300
161,34412,19999,Cash,449
161,34413,11254,New Tools and Bolts Trading,1083
m4,34414,19999,Cash,80
161,34415,11254,New Tools and Bolts Trading,351
159,34416,19999,Cash,540
161,34417,19999,Cash,1062
159,34418,19999,Cash,1500
159,34419,11275,Boodai Trading Company W.L.L,4647
159,34420,10248,Saad Bin Majid Trading Co. W.L.L,8764
159,34421,19999,Cash,1600
159,34422,19999,Cash,1950
159,34423,11263,Expanded Metal Manufacturing Co. Ltd.,1375
159,34424,11254,New Tools and Bolts Trading,645
100,34425,19999,Cash,756
161,34426,11254,New Tools and Bolts Trading,450
161,34427,10239,Abdel Latif,500
161,34428,10245,Don Construction Products - Qatar W.L.L,725
159,34429,19999,Cash,962
161,34430,19999,Cash,854
159,34431,11351,Jotun Paints Qatar,12600
159,34432,19999,Cash,59
159,34433,19999,Cash,500
159,34434,11254,New Tools and Bolts Trading,1245
159,34435,19999,Cash,210
159,34436,11254,New Tools and Bolts Trading,585
161,34437,11254,New Tools and Bolts Trading,200
161,34438,19999,Cash,1800
100,34439,19999,Cash,211
159,34440,19999,Cash,2990
161,34441,19999,Cash,9000
159,34442,11351,Jotun Paints Qatar,4450
159,34443,19999,Cash,1470
159,34444,10159,KG Plastic,5690.5
139,34445,30336,Bristol Trading & Contracting,475
139,34446,30336,Bristol Trading & Contracting,500
161,34447,10248,Saad Bin Majid Trading Co. W.L.L,210
M23,34448,30215,Abdul Hamid Abdul Rahim Al Emadi Trading Company,12800
159,34449,11254,New Tools and Bolts Trading,156
159,34450,19999,Cash,138
159,34451,11254,New Tools and Bolts Trading,1890
100,34452,11466,Cozmo Travel,1260
161,34453,11353,Castle for Building Material Co. W.L.L,13860
161,34454,19999,Cash,9000
161,34455,19999,Cash,720
100,34456,19999,Cash,5729
159,34457,10240,ALNAHA FOR TRADING & CONTRACTING,2100
159,34458,19999,Cash,2250
159,34459,19999,Cash,816
159,34460,19999,Cash,6375.37
161,34461,19999,Cash,7250
100,34462,19999,Cash,220
159,34463,19999,Cash,0
159,34464,19999,Cash,840
159,34465,11254,New Tools and Bolts Trading,209
161,34466,19999,Cash,900
161,34467,19999,Cash,1769
161,34468,19999,Cash,592
161,34469,10209,Madar Building Materials,143950.56
161,34470,11254,New Tools and Bolts Trading,195
159,34471,10209,Madar Building Materials,192089.56
123,34472,11254,New Tools and Bolts Trading,195
M1,34473,19999,Cash,6070
159,34474,19999,Cash,115
161,34475,19999,Cash,565
161,34476,19999,Cash,120
159,34477,11254,New Tools and Bolts Trading,655
100,34478,19999,Cash,355
159,34479,11254,New Tools and Bolts Trading,312
159,34480,11471,Grand Store Trading and Contracting,7800
